fps,total_timesteps,nupdates,value_loss,policy_entropy,explained_variance
9,5,1,0.024215882644057274,1.386291265487671,-0.1482328176498413
260,500,100,0.1055738553404808,1.3862942457199097,0.0
228,1000,200,0.10361732542514801,1.3862940073013306,0.0
259,1500,300,0.10071481764316559,1.3862931728363037,1.1920928955078125e-07
285,2000,400,0.09602589905261993,1.3862910270690918,0.0
281,2500,500,0.08860046416521072,1.3862929344177246,0.0
277,3000,600,0.07608354091644287,1.386290192604065,0.0
291,3500,700,0.054984815418720245,1.3862924575805664,0.0
313,4000,800,0.023581726476550102,1.3862879276275635,0.0
303,4500,900,0.0032348104286938906,1.3862909078598022,0.0
299,5000,1000,0.023508291691541672,1.386290192604065,0.0
303,5500,1100,2.4920336016975853e-08,1.3862875699996948,8.046627044677734e-06
310,6000,1200,0.0002782991505227983,1.3862937688827515,-1.1920928955078125e-07
306,6500,1300,3.159214247716591e-05,1.386281967163086,0.0
315,7000,1400,8.18035744032386e-07,1.3862829208374023,1.7881393432617188e-07
326,7500,1500,4.132892718189396e-05,1.386272668838501,0.0
319,8000,1600,1.6090391000034288e-05,1.3862894773483276,0.0
318,8500,1700,4.10336724598892e-05,1.3861973285675049,0.0
315,9000,1800,3.5772245166043604e-09,1.386216402053833,5.644559860229492e-05
315,9500,1900,1.2105374480597675e-09,1.386201024055481,0.0
318,10000,2000,0.006881214678287506,1.3861500024795532,-1.1920928955078125e-07
316,10500,2100,0.0001942645903909579,1.3859200477600098,0.0
319,11000,2200,1.193205548588594e-06,1.3858551979064941,1.4901161193847656e-06
319,11500,2300,1.914292442961596e-05,1.385786771774292,5.960464477539063e-08
326,12000,2400,0.00981244258582592,1.3857648372650146,0.0
322,12500,2500,5.224134156378568e-07,1.3856110572814941,6.198883056640625e-06
326,13000,2600,2.591028476217616e-07,1.3856351375579834,7.748603820800781e-07
322,13500,2700,5.70253178011626e-09,1.3855868577957153,3.337860107421875e-05
317,14000,2800,5.4569682106375694e-12,1.3853838443756104,0.3333333134651184
320,14500,2900,2.7398109523346648e-06,1.385077714920044,1.1920928955078125e-06
322,15000,3000,6.89496209815843e-06,1.3847367763519287,0.0
325,15500,3100,3.497596480883658e-05,1.3845282793045044,0.0
329,16000,3200,2.240972207800951e-05,1.3849321603775024,2.384185791015625e-07
333,16500,3300,1.716097176540643e-05,1.3846180438995361,0.0
329,17000,3400,2.4501786710651174e-10,1.3845853805541992,0.002836942672729492
332,17500,3500,4.207141955703264e-06,1.3841389417648315,2.384185791015625e-07
334,18000,3600,1.9684100607264554e-06,1.3838738203048706,4.172325134277344e-07
337,18500,3700,2.7337350729794707e-06,1.3839890956878662,1.1920928955078125e-07
335,19000,3800,8.045026334002614e-08,1.3833116292953491,2.276897430419922e-05
336,19500,3900,3.6379788613018216e-13,1.3833129405975342,0.3999999761581421
337,20000,4000,0.02352578565478325,1.3833129405975342,-1.1920928955078125e-07
336,20500,4100,4.776236892212182e-05,1.3834048509597778,1.1920928955078125e-07
337,21000,4200,4.9643699640000705e-06,1.3833470344543457,4.76837158203125e-07
344,21500,4300,0.00015584715583827347,1.3832409381866455,0.0
345,22000,4400,0.00015080980665516108,1.3832368850708008,nan
